state,date,ML,Low_90,High_90
AMAZONAS,2020-04-09,3.0,1.01,6.99
AMAZONAS,2020-04-10,2.2800000000000002,0.88,4.57
AMAZONAS,2020-04-11,2.12,0.85,4.0600000000000005
AMAZONAS,2020-04-12,1.8800000000000001,0.77,3.58
AMAZONAS,2020-04-13,1.72,0.68,3.24
AMAZONAS,2020-04-14,1.69,0.67,3.14
AMAZONAS,2020-04-15,1.67,0.7000000000000001,3.1
AMAZONAS,2020-04-16,1.73,0.73,3.12
AMAZONAS,2020-04-17,1.77,0.78,3.14
AMAZONAS,2020-04-18,1.81,0.8200000000000001,3.13
AMAZONAS,2020-04-19,1.75,0.8,3.0
AMAZONAS,2020-04-20,1.6400000000000001,0.74,2.81
AMAZONAS,2020-04-21,1.55,0.67,2.64
AMAZONAS,2020-04-22,1.48,0.66,2.56
AMAZONAS,2020-04-23,1.47,0.65,2.52
AMAZONAS,2020-04-24,1.46,0.67,2.52
AMAZONAS,2020-04-25,1.5,0.7000000000000001,2.5500000000000003
AMAZONAS,2020-04-26,1.58,0.77,2.64
AMAZONAS,2020-04-27,1.6600000000000001,0.8200000000000001,2.68
AMAZONAS,2020-04-28,1.72,0.88,2.71
AMAZONAS,2020-04-29,1.71,0.9,2.67
AMAZONAS,2020-04-30,1.62,0.86,2.5500000000000003
AMAZONAS,2020-05-01,1.59,0.84,2.47
AMAZONAS,2020-05-02,1.56,0.8300000000000001,2.41
AMAZONAS,2020-05-03,1.5,0.77,2.29
AMAZONAS,2020-05-04,1.47,0.79,2.2800000000000002
AMAZONAS,2020-05-05,1.49,0.79,2.25
AMAZONAS,2020-05-06,1.46,0.8,2.23
AMAZONAS,2020-05-07,1.47,0.79,2.19
AMAZONAS,2020-05-08,1.48,0.84,2.22
AMAZONAS,2020-05-09,1.48,0.85,2.2
AMAZONAS,2020-05-10,1.46,0.85,2.17
AMAZONAS,2020-05-11,1.42,0.8200000000000001,2.1
AMAZONAS,2020-05-12,1.3800000000000001,0.79,2.04
AMAZONAS,2020-05-13,1.33,0.76,1.98
AMAZONAS,2020-05-14,1.32,0.74,1.94
ANCASH,2020-03-28,3.0,1.01,6.99
ANCASH,2020-03-29,2.87,0.99,6.25
ANCASH,2020-03-30,2.77,1.01,5.83
ANCASH,2020-03-31,3.0,1.12,5.96
ANCASH,2020-04-01,2.81,1.11,5.42
ANCASH,2020-04-02,2.67,1.05,5.0
ANCASH,2020-04-03,2.5500000000000003,1.04,4.73
ANCASH,2020-04-04,2.46,0.99,4.47
ANCASH,2020-04-05,2.5500000000000003,1.06,4.49
ANCASH,2020-04-06,2.59,1.16,4.47
ANCASH,2020-04-07,2.74,1.3,4.51
ANCASH,2020-04-08,2.7800000000000002,1.4000000000000001,4.41
ANCASH,2020-04-09,2.75,1.44,4.21
ANCASH,2020-04-10,2.58,1.4000000000000001,3.92
ANCASH,2020-04-11,2.44,1.36,3.68
ANCASH,2020-04-12,2.33,1.32,3.47
ANCASH,2020-04-13,2.23,1.3,3.31
ANCASH,2020-04-14,2.15,1.24,3.12
ANCASH,2020-04-15,2.08,1.25,3.0300000000000002
ANCASH,2020-04-16,2.05,1.26,2.95
ANCASH,2020-04-17,2.09,1.33,2.94
ANCASH,2020-04-18,2.04,1.29,2.8000000000000003
ANCASH,2020-04-19,2.04,1.34,2.77
ANCASH,2020-04-20,2.0,1.34,2.69
ANCASH,2020-04-21,1.92,1.32,2.6
ANCASH,2020-04-22,1.79,1.21,2.42
ANCASH,2020-04-23,1.77,1.21,2.37
ANCASH,2020-04-24,1.72,1.19,2.3000000000000003
ANCASH,2020-04-25,1.74,1.23,2.3000000000000003
ANCASH,2020-04-26,1.75,1.24,2.2600000000000002
ANCASH,2020-04-27,1.74,1.27,2.25
ANCASH,2020-04-28,1.7,1.26,2.2
ANCASH,2020-04-29,1.71,1.28,2.18
ANCASH,2020-04-30,1.7,1.28,2.14
ANCASH,2020-05-01,1.75,1.36,2.19
ANCASH,2020-05-02,1.73,1.35,2.14
ANCASH,2020-05-03,1.71,1.34,2.09
ANCASH,2020-05-04,1.67,1.32,2.04
ANCASH,2020-05-05,1.61,1.27,1.96
ANCASH,2020-05-06,1.56,1.24,1.9100000000000001
ANCASH,2020-05-07,1.52,1.22,1.87
ANCASH,2020-05-08,1.46,1.17,1.8
ANCASH,2020-05-09,1.4000000000000001,1.11,1.72
ANCASH,2020-05-10,1.32,1.04,1.6400000000000001
ANCASH,2020-05-11,1.27,0.99,1.58
ANCASH,2020-05-12,1.24,0.96,1.54
ANCASH,2020-05-13,1.22,0.9400000000000001,1.51
ANCASH,2020-05-14,1.21,0.9500000000000001,1.52
APURIMAC,2020-04-10,3.0,1.01,6.99
APURIMAC,2020-04-11,2.87,0.99,6.25
APURIMAC,2020-04-12,2.77,1.01,5.83
APURIMAC,2020-04-13,3.0,1.12,5.96
APURIMAC,2020-04-14,3.11,1.25,5.8100000000000005
APURIMAC,2020-04-15,3.09,1.32,5.48
APURIMAC,2020-04-16,3.0100000000000002,1.33,5.09
APURIMAC,2020-04-17,2.72,1.25,4.58
APURIMAC,2020-04-18,2.52,1.1500000000000001,4.18
APURIMAC,2020-04-19,2.2600000000000002,1.05,3.81
APURIMAC,2020-04-20,2.17,1.03,3.66
APURIMAC,2020-04-21,2.1,0.96,3.47
APURIMAC,2020-04-22,1.96,0.92,3.3000000000000003
APURIMAC,2020-04-23,2.0,0.92,3.27
APURIMAC,2020-04-24,2.0300000000000002,0.98,3.29
APURIMAC,2020-04-25,1.98,0.98,3.21
APURIMAC,2020-04-26,1.92,0.9500000000000001,3.1
APURIMAC,2020-04-27,1.82,0.9,2.96
APURIMAC,2020-04-28,1.79,0.88,2.89
APURIMAC,2020-04-29,1.76,0.89,2.86
APURIMAC,2020-04-30,1.74,0.88,2.81
APURIMAC,2020-05-01,1.77,0.9,2.81
APURIMAC,2020-05-02,1.74,0.87,2.73
APURIMAC,2020-05-03,1.76,0.92,2.7600000000000002
APURIMAC,2020-05-04,1.73,0.89,2.68
APURIMAC,2020-05-05,1.7,0.89,2.64
APURIMAC,2020-05-06,1.67,0.88,2.59
APURIMAC,2020-05-07,1.61,0.8300000000000001,2.49
APURIMAC,2020-05-08,1.55,0.79,2.41
APURIMAC,2020-05-09,1.47,0.75,2.33
APURIMAC,2020-05-10,1.43,0.73,2.29
APURIMAC,2020-05-11,1.43,0.71,2.2600000000000002
APURIMAC,2020-05-12,1.42,0.73,2.2800000000000002
APURIMAC,2020-05-13,1.42,0.7000000000000001,2.24
APURIMAC,2020-05-14,1.42,0.72,2.2600000000000002
AREQUIPA,2020-03-20,3.0,1.01,6.99
AREQUIPA,2020-03-21,2.87,0.99,6.25
AREQUIPA,2020-03-22,2.77,1.01,5.83
AREQUIPA,2020-03-23,2.69,0.98,5.48
AREQUIPA,2020-03-24,2.9,1.09,5.63
AREQUIPA,2020-03-25,2.73,1.04,5.15
AREQUIPA,2020-03-26,2.61,1.04,4.8500000000000005
AREQUIPA,2020-03-27,2.5,1.02,4.6000000000000005
AREQUIPA,2020-03-28,2.42,1.02,4.42
AREQUIPA,2020-03-29,2.34,0.97,4.21
AREQUIPA,2020-03-30,2.2800000000000002,0.9500000000000001,4.0600000000000005
AREQUIPA,2020-03-31,2.37,1.03,4.12
AREQUIPA,2020-04-01,2.2800000000000002,1.02,3.96
AREQUIPA,2020-04-02,2.33,1.08,3.96
AREQUIPA,2020-04-03,2.23,1.01,3.73
AREQUIPA,2020-04-04,2.2600000000000002,1.09,3.74
AREQUIPA,2020-04-05,2.2600000000000002,1.12,3.67
AREQUIPA,2020-04-06,2.24,1.1300000000000001,3.5700000000000003
AREQUIPA,2020-04-07,2.22,1.16,3.49
AREQUIPA,2020-04-08,2.04,1.04,3.21
AREQUIPA,2020-04-09,1.97,1.03,3.11
AREQUIPA,2020-04-10,1.8,0.92,2.88
AREQUIPA,2020-04-11,1.76,0.9,2.81
AREQUIPA,2020-04-12,1.69,0.86,2.71
